Country,Protection,Impact Func ID,AAD
ETH,FLOPROS,0,90597.35657203077
ETH,FLOPROS,1,92116.38848274134
ETH,FLOPROS,2,93339.89797616068
ETH,FLOPROS,3,99545.3677014697
ETH,FLOPROS,4,87846.36568620629
ETH,FLOPROS,5,124045.84432313382
ETH,FLOPROS,6,112200.50159455833
ETH,FLOPROS,7,113507.72494237755
ETH,FLOPROS,8,114199.32358837582
ETH,FLOPROS,9,94477.68745935804
ETH,FLOPROS,10,92116.38848274134
ETH,FLOPROS,11,92116.40020263071
ETH,FLOPROS,12,77407.3962752198
ETH,FLOPROS,13,95989.57523479238
ETH,FLOPROS,14,111559.15204447485
ETH,FLOPROS,15,90597.35657203077
ETH,FLOPROS,16,78737.72837322249
ETH,FLOPROS,17,111559.15204447485
ETH,FLOPROS,18,87846.36568620629
ETH,FLOPROS,19,109092.62820081969
ETH,No Protection,0,115694.87573396685
ETH,No Protection,1,107412.90567729677
ETH,No Protection,2,82991.38759244136
ETH,No Protection,3,113494.41273313217
ETH,No Protection,4,80219.54253062315
ETH,No Protection,5,122923.64633284896
ETH,No Protection,6,117792.64819821964
ETH,No Protection,7,111766.2808236113
ETH,No Protection,8,95837.55274511394
ETH,No Protection,9,115694.87573396685
ETH,No Protection,10,98825.5613026553
ETH,No Protection,11,94545.76025870662
ETH,No Protection,12,89320.2850841421
ETH,No Protection,13,105457.59663485327
ETH,No Protection,14,100315.67398140724
ETH,No Protection,15,105457.59663485327
ETH,No Protection,16,113494.41273313217
ETH,No Protection,17,109813.67302706378
ETH,No Protection,18,100622.3214365899
ETH,No Protection,19,80612.79067370635
SDN,FLOPROS,0,281504.68806655216
SDN,FLOPROS,1,232166.61419326792
SDN,FLOPROS,2,268139.81531891
SDN,FLOPROS,3,256191.28199860273
SDN,FLOPROS,4,271736.3356684254
SDN,FLOPROS,5,232166.61419326792
SDN,FLOPROS,6,281504.68806655216
SDN,FLOPROS,7,277032.1529817428
SDN,FLOPROS,8,304765.20617139025
SDN,FLOPROS,9,296928.28732166556
SDN,FLOPROS,10,274083.5361456096
SDN,FLOPROS,11,268139.81531891
SDN,FLOPROS,12,292233.8982461934
SDN,FLOPROS,13,271737.53040183557
SDN,FLOPROS,14,308917.6008350698
SDN,FLOPROS,15,248283.57872390788
SDN,FLOPROS,16,258427.37083226803
SDN,FLOPROS,17,281504.68806655216
SDN,FLOPROS,18,248283.57872390788
SDN,FLOPROS,19,258427.37083226803
SDN,No Protection,0,115932.84592380619
SDN,No Protection,1,105400.9520030448
SDN,No Protection,2,115932.6839591868
SDN,No Protection,3,115932.6839591868
SDN,No Protection,4,105400.9520030448
SDN,No Protection,5,115932.84592380619
SDN,No Protection,6,105400.9520030448
SDN,No Protection,7,115932.84592380619
SDN,No Protection,8,105400.9520030448
SDN,No Protection,9,115932.6839591868
SDN,No Protection,10,115932.6839591868
SDN,No Protection,11,115932.84592380619
SDN,No Protection,12,115932.6839591868
SDN,No Protection,13,105400.9520030448
SDN,No Protection,14,115932.84592380619
SDN,No Protection,15,115932.6839591868
SDN,No Protection,16,111030.25198467218
SDN,No Protection,17,115932.84592380619
SDN,No Protection,18,111030.25198467218
SDN,No Protection,19,115932.6839591868
SOM,FLOPROS,0,76717.91653368055
SOM,FLOPROS,1,74264.23375227545
SOM,FLOPROS,2,63063.57339528371
SOM,FLOPROS,3,75328.05764997946
SOM,FLOPROS,4,86260.12223618143
SOM,FLOPROS,5,99927.19555754671
SOM,FLOPROS,6,88986.09628182005
SOM,FLOPROS,7,75878.0021597192
SOM,FLOPROS,8,98477.70444319071
SOM,FLOPROS,9,76569.48120303339
SOM,FLOPROS,10,67936.63360307514
SOM,FLOPROS,11,63063.57339528371
SOM,FLOPROS,12,65985.32814098823
SOM,FLOPROS,13,82783.32212412766
SOM,FLOPROS,14,63004.615896667245
SOM,FLOPROS,15,70308.97621177553
SOM,FLOPROS,16,71490.59607176388
SOM,FLOPROS,17,76717.91653368055
SOM,FLOPROS,18,69866.77738834193
SOM,FLOPROS,19,71490.59607176388
SOM,No Protection,0,65774.06766819149
SOM,No Protection,1,81904.01928160031
SOM,No Protection,2,69912.22094102897
SOM,No Protection,3,73123.37357202044
SOM,No Protection,4,78458.83013940162
SOM,No Protection,5,73128.1043711207
SOM,No Protection,6,91133.63690069862
SOM,No Protection,7,82613.65383737779
SOM,No Protection,8,99797.8091971928
SOM,No Protection,9,86197.12559407925
SOM,No Protection,10,68473.69523295607
SOM,No Protection,11,69912.22094102897
SOM,No Protection,12,65931.92085683548
SOM,No Protection,13,66091.9890086502
SOM,No Protection,14,63975.531404864945
SOM,No Protection,15,90328.37849901455
SOM,No Protection,16,82782.14090443605
SOM,No Protection,17,86701.24131051265
SOM,No Protection,18,65774.06766819149
SOM,No Protection,19,88907.61831371656
